Ano;Mes;Filial;Venda
2016;1;802.003;496.641,22
2017;1;802.003;703.108,97
2016;2;802.003;730.361,71
2017;2;802.003;644.698,86
2016;3;802.003;696.540,02
2017;3;802.003;562.112,01
2016;4;802.003;724.353,50
2017;4;802.003;540.097,81
2016;5;802.003;578.483,25
2017;5;802.003;531.928,75
2016;6;802.003;580.553,80
2017;6;802.003;258.298,39
2016;7;802.003;709.217,44
2016;8;802.003;740.597,19
2016;9;802.003;611.216,10
2016;10;802.003;667.512,91
2016;11;802.003;905.121,73
2016;12;802.003;1.640.761,76
2016;1;802.006;303.936,41
2017;1;802.006;347.113,21
2016;2;802.006;383.908,46
2017;2;802.006;392.311,74
2016;3;802.006;343.309,62
2017;3;802.006;281.386,91
2016;4;802.006;364.676,11
2017;4;802.006;301.362,46
2016;5;802.006;299.325,77
2017;5;802.006;286.376,94
2016;6;802.006;327.321,86
2017;6;802.006;145.207,58
2016;7;802.006;305.406,88
2016;8;802.006;335.932,24
2016;9;802.006;259.476,60
2016;10;802.006;405.175,08
2016;11;802.006;379.841,40
2016;12;802.006;658.430,31
2016;1;802.009;528.490,70
2017;1;802.009;483.580,26
2016;2;802.009;693.100,59
2017;2;802.009;598.085,48
2016;3;802.009;631.172,30
2017;3;802.009;519.114,11
2016;4;802.009;618.525,63
2017;4;802.009;487.450,46
2016;5;802.009;549.237,97
2017;5;802.009;546.396,92
2016;6;802.009;548.721,94
2017;6;802.009;295.681,37
2016;7;802.009;682.084,74
2016;8;802.009;575.935,62
2016;9;802.009;423.100,93
2016;10;802.009;397.851,93
2016;11;802.009;694.460,54
2016;12;802.009;1.276.229,94
2016;1;802.014;641.856,16
2017;1;802.014;551.364,62
2016;2;802.014;838.017,19
2017;2;802.014;650.227,34
2016;3;802.014;776.471,05
2017;3;802.014;690.704,54
2016;4;802.014;685.163,50
2017;4;802.014;616.975,98
2016;5;802.014;706.952,39
2017;5;802.014;636.646,41
2016;6;802.014;656.074,19
2017;6;802.014;307.468,91
2016;7;802.014;800.073,13
2016;8;802.014;833.860,25
2016;9;802.014;540.967,48
2016;10;802.014;498.495,91
2016;11;802.014;773.023,22
2016;12;802.014;1.500.583,88
2016;1;802.025;329.589,44
2017;1;802.025;163.988,35
2016;2;802.025;195.395,14
2017;2;802.025;165.213,93
2016;3;802.025;187.361,84
2017;3;802.025;117.729,38
2016;4;802.025;167.783,67
2017;4;802.025;145.757,19
2016;5;802.025;104.120,41
2017;5;802.025;136.452,72
2016;6;802.025;165.203,75
2017;6;802.025;71.436,23
2016;7;802.025;123.602,31
2016;8;802.025;131.639,33
2016;9;802.025;108.394,65
2016;10;802.025;111.592,40
2016;11;802.025;188.609,30
2016;12;802.025;310.229,75
2016;1;802.028;268.402,06
2017;1;802.028;256.291,67
2016;2;802.028;370.359,39
2017;2;802.028;365.336,15
2016;3;802.028;310.718,86
2017;3;802.028;272.862,71
2016;4;802.028;369.686,12
2017;4;802.028;575.387,58
2016;5;802.028;660.268,93
2017;5;802.028;406.113,05
2016;6;802.028;401.071,42
2017;6;802.028;240.473,95
2016;7;802.028;478.944,57
2016;8;802.028;370.632,76
2016;9;802.028;498.482,82
2016;10;802.028;279.536,89
2016;11;802.028;468.810,74
2016;12;802.028;724.033,78
2016;1;802.032;169.360,35
2017;1;802.032;184.500,42
2016;2;802.032;222.109,23
2017;2;802.032;166.706,32
2016;3;802.032;221.285,26
2017;3;802.032;171.346,01
2016;4;802.032;216.514,12
2017;4;802.032;145.323,07
2016;5;802.032;146.252,22
2017;5;802.032;190.218,03
2016;6;802.032;192.345,57
2017;6;802.032;122.667,94
2016;7;802.032;210.432,32
2016;8;802.032;200.445,66
2016;9;802.032;152.210,59
2016;10;802.032;176.426,97
2016;11;802.032;265.919,69
2016;12;802.032;512.334,99
2016;1;802.046;208.664,80
2017;1;802.046;188.508,08
2016;2;802.046;272.098,68
2017;2;802.046;275.056,98
2016;3;802.046;204.185,74
2017;3;802.046;218.696,66
2016;4;802.046;201.676,66
2017;4;802.046;224.679,97
2016;5;802.046;243.590,92
2017;5;802.046;284.609,88
2016;6;802.046;280.414,08
2017;6;802.046;126.176,17
2016;7;802.046;308.943,94
2016;8;802.046;274.032,52
2016;9;802.046;201.009,86
2016;10;802.046;225.103,74
2016;11;802.046;459.867,17
2016;12;802.046;542.878,06
2016;1;802.054;366.078,53
2017;1;802.054;470.570,87
2016;2;802.054;381.961,56
2017;2;802.054;457.489,54
2016;3;802.054;368.409,89
2017;3;802.054;470.697,93
2016;4;802.054;377.053,57
2017;4;802.054;391.553,97
2016;5;802.054;408.281,06
2017;5;802.054;577.429,32
2016;6;802.054;516.939,52
2017;6;802.054;320.669,27
2016;7;802.054;561.167,47
2016;8;802.054;432.831,95
2016;9;802.054;321.367,38
2016;10;802.054;337.175,05
2016;11;802.054;559.643,96
2016;12;802.054;970.655,79
2016;1;802.055;187.148,72
2017;1;802.055;222.773,75
2016;2;802.055;194.988,52
2017;2;802.055;193.399,31
2016;3;802.055;188.873,99
2017;3;802.055;189.396,07
2016;4;802.055;190.306,99
2017;4;802.055;194.656,01
2016;5;802.055;181.454,78
2017;5;802.055;181.610,32
2016;6;802.055;212.331,67
2017;6;802.055;125.693,49
2016;7;802.055;212.095,65
2016;8;802.055;185.049,03
2016;9;802.055;151.319,21
2016;10;802.055;190.295,54
2016;11;802.055;314.377,63
2016;12;802.055;558.143,68
2016;1;802.058;415.974,77
2017;1;802.058;411.354,78
2016;2;802.058;373.234,60
2017;2;802.058;394.545,57
2016;3;802.058;304.011,94
2017;3;802.058;364.758,73
2016;4;802.058;384.215,97
2017;4;802.058;383.958,30
2016;5;802.058;384.133,68
2017;5;802.058;420.999,86
2016;6;802.058;453.631,44
2017;6;802.058;289.732,74
2016;7;802.058;519.819,44
2016;8;802.058;428.453,95
2016;9;802.058;301.380,70
2016;10;802.058;375.842,59
2016;11;802.058;649.247,39
2016;12;802.058;967.368,22
2016;1;802.059;245.776,06
2017;1;802.059;206.206,35
2016;2;802.059;213.506,50
2017;2;802.059;187.107,69
2016;3;802.059;259.154,11
2017;3;802.059;166.977,17
2016;4;802.059;246.448,77
2017;4;802.059;202.849,61
2016;5;802.059;223.803,67
2017;5;802.059;207.135,40
2016;6;802.059;231.173,03
2017;6;802.059;107.951,58
2016;7;802.059;229.597,23
2016;8;802.059;213.130,13
2016;9;802.059;138.332,64
2016;10;802.059;139.128,35
2016;11;802.059;226.187,73
2016;12;802.059;374.675,20
2016;1;802.060;369.902,70
2017;1;802.060;552.159,65
2016;2;802.060;427.630,37
2017;2;802.060;476.821,00
2016;3;802.060;511.488,13
2017;3;802.060;387.225,17
2016;4;802.060;636.955,24
2017;4;802.060;423.212,27
2016;5;802.060;548.187,12
2017;5;802.060;485.636,70
2016;6;802.060;569.392,12
2017;6;802.060;238.616,76
2016;7;802.060;612.231,32
2016;8;802.060;506.977,53
2016;9;802.060;397.329,59
2016;10;802.060;368.183,50
2016;11;802.060;674.231,73
2016;12;802.060;1.107.609,83
2016;1;902.059;430.821,05
2017;1;902.059;542.466,34
2016;2;902.059;321.940,59
2017;2;902.059;343.370,03
2016;3;902.059;305.293,27
2017;3;902.059;280.545,44
2016;4;902.059;294.006,44
2017;4;902.059;287.464,71
2016;5;902.059;251.778,93
2017;5;902.059;255.213,16
2016;6;902.059;239.225,47
2017;6;902.059;138.933,35
2016;7;902.059;292.339,86
2016;8;902.059;291.857,75
2016;9;902.059;255.738,70
2016;10;902.059;294.900,47
2016;11;902.059;526.762,35
2016;12;902.059;831.269,30
